"","individualID","Sex","sampleAge","sampleID2","collDate","collTime","NTXnM","uMidOC_ng_ml","SpecificGravity","creatinine","DOB","Collector","Substrate","CollectComments","assayDate.x","assayDate.y","Plate_U.MidOC","assay1value","assay1cv","assay2value","assay2cv","NTXnM_SG"
"1","Amina","Female",5.14,"O159","2/10/17","16:50:00",4302.2,23.368,1.025,3.844,"12/20/11","Jeremy","V1: ground leaves
V2: leaves","1252 & 1261 id ","6/20/18","6/20/18",NA,NA,NA,NA,NA,69.1448133092442
"2","Amina","Female",5.28,"1025","4/1/17","16:00:00",1786.4,21.429,1.015,2.852,"12/20/11","Rebecca","","","6/20/18","6/20/18",NA,NA,NA,NA,NA,28.9938271604939
"3","Amina","Female",6.2,"A308","3/4/18","16:25:00",2594.2,19.482,1.024,6.583,"12/20/11","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,41.7346116054205
"4","Amina","Female",6.27,"A342","3/28/18","13:37:00",1358.8,17.539,1.023,3.991,"12/20/11","Izzi","DryLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,21.8812829610321
"6","Amina","Female",6.37,"A488","5/4/18","11:33:00",512.2,9.357,1.011,2.593,"12/20/11","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,8.34605603790405
"7","Amina","Female",6.37,"A489","5/4/18","14:00:00",625.6,15.686,1.014,2.627,"12/20/11","Izzi","DryLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,10.1636959115592
"8","Aretha","Female",42.83,"A6","10/29/17","12:04:00",146,0.991,1.008,2.57,"1/1/75","Aaron","Ground,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,2.3860811042524
"9","Aretha","Female",43.07,"A144","1/27/18","9:57:00",153.8,0.719,1.008,2.78,"1/1/75","Izzi","DryLeaf,LiveLeaf,","","6/20/18","13-Dec-19",5,0.719,5.7,NA,NA,2.51355667009602
"10","Aretha","Female",43.07,"A144","1/27/18","9:57:00",153.8,0.927,1.008,2.78,"1/1/75","Izzi","DryLeaf,LiveLeaf,","","6/20/18","6/20/18",NA,NA,NA,NA,NA,2.51355667009602
"11","Aretha","Female",43.1,"A200","2/7/18","9:35:00",428.4,0.088,1.018,3.847,"1/1/75","Izzi","DryLeaf,LiveLeaf,","coughing/sneezing; estrus","6/20/18","13-Dec-19",5,0.088,35.6,NA,NA,6.93257476533508
