,individualID,Sex,sampleAge,sampleID2,collDate,collTime,NTXnM,uMidOC_ng_ml,SpecificGravity,creatinine,DOB,Collector,Substrate,CollectComments,assayDate.x,assayDate.y,Plate_U.MidOC,assay1value,assay1cv,assay2value,assay2cv,uMidOC_SG
1,Amina,Female,5.14,O159,2/10/2017,16:50:00,4302.2,23.368,1.025,3.844,12/20/2011,Jeremy,"V1: ground leaves
V2: leaves",1252 & 1261 id ,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.374944581
2,Amina,Female,5.28,1025,4/1/2017,16:00:00,1786.4,21.429,1.015,2.852,12/20/2011,Rebecca,,,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.347220426
3,Amina,Female,6.2,A308,3/4/2018,16:25:00,2594.2,19.482,1.024,6.583,12/20/2011,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.312898143
4,Amina,Female,6.27,A342,3/28/2018,13:37:00,1358.8,17.539,1.023,3.991,12/20/2011,Izzi,"DryLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.281967204
6,Amina,Female,6.37,A488,5/4/2018,11:33:00,512.2,9.357,1.011,2.593,12/20/2011,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.152214097
7,Amina,Female,6.37,A489,5/4/2018,14:00:00,625.6,15.686,1.014,2.627,12/20/2011,Izzi,"DryLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.254415554
8,Aretha,Female,42.83,A6,10/29/2017,12:04:00,146,0.991,1.008,2.57,1/1/1975,Aaron,"Ground,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.016168976
9,Aretha,Female,43.07,A144,1/27/2018,9:57:00,153.8,0.719,1.008,2.78,1/1/1975,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,13-Dec-19,5,0.719,5.7,NA,NA,0.011731074
10,Aretha,Female,43.07,A144,1/27/2018,9:57:00,153.8,0.927,1.008,2.78,1/1/1975,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.015124764
11,Aretha,Female,43.1,A200,2/7/2018,9:35:00,428.4,0.088,1.018,3.847,1/1/1975,Izzi,"DryLeaf,LiveLeaf,",coughing/sneezing; estrus,6/20/2018,13-Dec-19,5,0.088,35.6,NA,NA,0.001421688
12,Aretha,Female,43.1,A200,2/7/2018,9:35:00,428.4,0.212,1.018,3.847,1/1/1975,Izzi,"DryLeaf,LiveLeaf,",coughing/sneezing; estrus,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.003424976
13,Aretha,Female,43.28,A401,4/12/2018,14:41:00,334.2,1.795,1.014,2.792,1/1/1975,Izzi,"DryLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.029113599
14,Aretha,Female,43.34,A493,5/6/2018,9:55:00,196.2,0.895,1.013,2.942,1/1/1975,Izzi,"LiveLeaf,",,6/20/2018,13-Dec-19,5,0.895,3.3,NA,NA,0.014530581
15,Aretha,Female,43.34,A493,5/6/2018,9:55:00,196.2,1.353,1.013,2.942,1/1/1975,Izzi,"LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.021966343
18,Ava,Female,8.84,A400,4/12/2018,13:40:00,1360.9,13.361,1.013,NA,6/10/2009,Izzi,"DryLeaf,LiveLeaf,",Running east away from  call of westerners nearby,6/23/2021,16-Dec-19,6,13.361,3.1,NA,NA,0.216919663
19,Baez,Female,15.1,O088,12/8/2016,13:55:00,1869,14.707,1.023,4.767,11/1/2001,Jeremy,"Leaf,",7824-29 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.236438318
20,Baez,Female,16.21,A103,1/17/2018,13:53:00,761.8,4.877,1.02,3.189,11/1/2001,Godfrey,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.078636104
21,Baez,Female,16.24,A148,1/28/2018,9:20:00,1713.6,11.961,1.024,6.871,11/1/2001,Izzi,"LiveLeaf,",Estrus,8/13/2021,6/19/2018,NA,NA,NA,NA,NA,0.192104234
22,Baez,Female,16.24,A148,1/28/2018,9:20:00,1684.6,11.961,1.024,6.871,11/1/2001,Izzi,"LiveLeaf,",Estrus,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.192104234
23,Baez,Female,16.32,A274,2/25/2018,16:04:00,821,7.982,1.019,3.726,11/1/2001,Izzi,"DryLeaf,LiveLeaf,",Estrus,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.128827015
24,Baez,Female,16.4,A335,3/27/2018,13:53:00,718.6,10.421,1.013,3.074,11/1/2001,Izzi,"DryLeaf,LiveLeaf,",Immediately after Wilson beat her up,8/13/2021,6/19/2018,NA,NA,NA,NA,NA,0.169187921
25,Baez,Female,16.4,A335,3/27/2018,13:53:00,574.6,10.421,1.013,3.074,11/1/2001,Izzi,"DryLeaf,LiveLeaf,",Immediately after Wilson beat her up,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.169187921
26,Baez,Female,16.41,A353,3/30/2018,15:43:00,1043.2,12.057,1.019,4.137,11/1/2001,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.194596256
28,Baez,Female,16.55,A556,5/21/2018,13:50:00,401,8.403,1.007,NA,11/1/2001,Izzi,"LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.137237973
29,Bartoli,Female,34.26,O241,4/5/2017,13:50:00,441,2.958,1.014,3.643,1/1/1983,Jeremy,"Leaf,","

5373-78  ID ",6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.047976617
30,Bartoli,Female,35.04,A101,1/17/2018,11:30:00,1104.8,10.5,1.023,4.995,1/1/1983,Godfrey,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.16880413
31,Bartoli,Female,35.07,A145,1/27/2018,11:33:00,219.9,1.904,1.007,NA,1/1/1983,Izzi,"LiveLeaf,",Vial2 collected from LL and DL,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.031096168
32,Bartoli,Female,35.14,A255,2/21/2018,15:45:00,298,2.104,1.012,3.24,1/1/1983,Izzi,"DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.034192797
33,Bartoli,Female,35.16,A297,3/2/2018,14:45:00,266.1,1.477,1.007,2.604,1/1/1983,Izzi,"LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.024122395
34,Bartoli,Female,35.26,A378,4/6/2018,13:37:00,236.6,3.328,1.008,2.628,1/1/1983,Izzi,"LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.054299045
36,Beryl,Female,18.18,201,3/8/2017,13:15:00,1245.6,5.559,1.013,3.409,1/1/1999,Jeremy,"Leaf,","3574 ID . Beryl was behaving somewhat strangely today. Found her alone screaming (she had been for about 30 minutes, based on when we first started hearing her from camp. She also never left the trees today, including when she was trying to keep up with the group (found her near D.5&4, then she travelled to F.5&4, finally ending north of F.5&2.5). ",6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.090251958
37,Beryl,Female,18.18,O203,3/8/2017,15:40:00,405,1.028,1.006,NA,1/1/1999,Jeremy,"V1: ground
V2: leaves",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.016806007
38,Beryl,Female,19.11,A216,2/11/2018,11:24:00,2286,36.403,1.01,2.866,1/1/1999,Izzi,"DryLeaf,Ground,",,6/19/2018,13-Dec-19,5,36.403,2.1,NA,NA,0.59276862
39,Beryl,Female,19.11,A216,2/11/2018,11:24:00,2286,59.7,1.01,2.866,1/1/1999,Izzi,"DryLeaf,Ground,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.972125556
40,Beryl,Female,19.11,A221,2/11/2018,12:29:00,993.2,9.04,1.022,4.732,1/1/1999,Izzi,"DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.145474522
41,Beryl,Female,19.16,A286,3/1/2018,9:55:00,380.4,2.483,1.008,2.949,1/1/1999,Izzi,"Bag,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.040512178
42,Bronte,Female,14.77,O010,10/7/2016,8:30:00,1012.2,8.412,1.014,5.392,1/1/2002,Jeremy,"Leaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.136436545
43,Bronte,Female,14.77,O011,10/7/2016,12:20:00,534.4,5.688,1.018,4.521,1/1/2002,Jeremy,"Leaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.091892742
45,Bronte,Female,16.09,A174A,2/2/2018,10:25:00,321.2,2.868,1.01,2.582,1/1/2002,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.046701107
46,Bronte,Female,16.09,A175,2/2/2018,10:42:00,294.4,2.732,1.012,2.648,1/1/2002,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.044398632
47,Bronte,Female,16.21,A317,3/18/2018,9:35:00,375.8,4.052,1.007,3.02,1/1/2002,Izzi,"LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.06617735
48,Bronte,Female,16.36,A510,5/13/2018,11:55:00,350.6,3.52,1.01,4.11,1/1/2002,Izzi,"LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.057317956
49,Carson,Female,23.71,A47,12/21/2017,13:00:00,1611.1,6.865,1.023,NA,4/5/1994,Izzi,"DryLeaf,LiveLeaf,",No estrus,6/22/2021,11-Dec-19,1,6.865,0.1,NA,NA,0.110365748
50,Cate,Female,19.11,A431,4/19/2018,9:54:00,393.2,4.766,1.011,NA,3/10/1999,Charles,,,6/22/2021,11-Dec-19,1,4.766,0.8,NA,NA,0.077530447
51,Christine,Female,19.1,A381,4/7/2018,13:35:00,310.7,1.11,1.009,NA,3/1/1999,Izzi,"LiveLeaf,",,6/23/2021,11-Dec-19,1,1.201,21.2,1.11,0.2,0.01809261
52,Christine,Female,19.15,A470,4/26/2018,10:33:00,743.7,4.603,1.003,NA,3/1/1999,Izzi,"LiveLeaf,",,6/22/2021,11-Dec-19,1,4.603,0.2,NA,NA,0.075476099
53,Christine,Female,19.18,A496,5/6/2018,11:40:00,353.2,2.762,1.011,NA,3/1/1999,Izzi,"LiveLeaf,",,6/22/2021,11-Dec-19,1,2.762,1.1,NA,NA,0.044930569
54,Denis,Female,2.63,A26,12/2/2017,12:35:00,1484,10.672,1.007,NA,4/16/2015,Aaron,"LiveLeaf,",And Izzi; big party ,6/22/2021,16-Dec-19,6,10.672,1,NA,NA,0.174295329
55,Denis,Female,3.08,A516,5/14/2018,10:40:00,1051,7.9,1.004,NA,4/16/2015,Izzi,"DryLeaf,LiveLeaf,",,6/23/2021,16-Dec-19,6,7.9,2.1,NA,NA,0.129408494
56,Denis,Female,3.08,A517,5/14/2018,12:16:00,730.4,0.779,1.003,NA,4/16/2015,Izzi,"DryLeaf,LiveLeaf,Ground,",,6/23/2021,16-Dec-19,6,0.779,13.2,NA,NA,0.012773383
57,Ellen,Female,10.5,229,8/1/2016,16:10:00,2014,14.776,1.022,3.874,2/1/2006,Jacob,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.237780037
58,Ellen,Female,10.77,O038,11/8/2016,15:05:00,3922.2,20.614,1.026,4.447,2/1/2006,Jeremy,"Leaf,","Ambrose ID 
5480",6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.330433685
59,Ellen,Female,10.99,O135,1/27/2017,11:15:24,4124.2,26.833,1.019,5.239,2/1/2006,Jeremy,"Leaf,",269 ID. In estrous,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.433076332
60,Ellen,Female,10.99,O136,1/27/2017,13:00:00,2668.4,0.866,1.022,5.017,2/1/2006,Jeremy,"Vial 1: ground leaves
Vial2: leaf",269 ID. In estrous ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.013935944
61,Ellen,Female,11.09,O192,3/4/2017,15:50:00,1591.4,7.969,1.008,4.321,2/1/2006,Jeremy,"Leaf,",3187 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.130020759
62,Ellen,Female,11.23,1125,4/24/2017,9:40:04,3467.4,21.514,1.028,6.315,2/1/2006,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.34418937
63,Ellen,Female,11.33,1258,6/2/2017,13:16:14,1319.4,4.519,1.017,3.658,2/1/2006,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.073078696
64,Ellen,Female,11.84,A27,12/3/2017,15:12:00,787.4,6.375,1.012,3.335,2/1/2006,Aaron,"DryLeaf,LiveLeaf,",Estrus 2; With Izzi ,6/19/2018,13-Dec-19,5,6.375,2.9,NA,NA,0.103602224
65,Ellen,Female,11.84,A27,12/3/2017,15:12:00,787.4,8.013,1.012,3.335,2/1/2006,Aaron,"DryLeaf,LiveLeaf,",Estrus 2; With Izzi ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.130221902
66,Ellen,Female,12.05,A238,2/19/2018,14:55:00,846.8,3.986,1.018,3.643,2/1/2006,Izzi,"DryLeaf,",Estrus; also collected fecal worms,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.064396004
67,Ellen,Female,12.14,A325,3/23/2018,13:05:00,605.6,5.369,1.008,2.72,2/1/2006,Izzi,"DryLeaf,LiveLeaf,",After Pizan chased her up tree,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.087599631
68,Elvira,Female,6.28,A567,5/24/2018,14:00:00,1793.5,9.531,1.022,NA,2/13/2012,Izzi,"LiveLeaf,",,6/23/2021,17-Dec-19,8,9.531,2.7,NA,NA,0.153375848
69,Emmy.Lou,Female,12.02,O047,11/9/2016,10:20:00,1139.8,15.509,1.006,NA,11/1/2004,Jeremy,"Bag,",Confirmed by Rachna,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.253545098
70,Emmy.Lou,Female,12.03,580,11/13/2016,15:30:00,1430.6,32.083,1.011,3.144,11/1/2004,Natasha,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.521907117
71,Emmy.Lou,Female,12.08,O073,12/2/2016,9:00:00,866,8.659,1.003,2.493,11/1/2004,Jeremy,"Bag,",7192-7200 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.141982955
72,Emmy.Lou,Female,12.09,O082,12/3/2016,13:25:00,2470.2,19.901,1.014,3.555,11/1/2004,Jeremy,"Leaf,",7438-39 ID,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.3227798
74,Emmy.Lou,Female,12.27,O157.2,2/9/2017,14:45:00,6253.4,17.884,1.024,5.868,11/1/2004,Jeremy,"V1: ground leaves 
V2: leaves ",1032 ID ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.28723285
75,Emmy.Lou,Female,12.38,O207,3/18/2017,14:50:00,3265,10.477,1.02,5.074,11/1/2004,Jeremy,"Ground,",3675 ID. In estrous ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.168929764
76,Emmy.Lou,Female,12.41,O235,3/29/2017,13:45:00,3156.6,20.341,1.016,3.561,11/1/2004,Jeremy,"Leaf,Bag,",4627 ID; In estrous,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.329266839
77,Emmy.Lou,Female,12.46,1105,4/18/2017,17:03:00,1936,27.815,1.021,4.409,11/1/2004,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.448046125
78,Emmy.Lou,Female,13.19,A67,1/9/2018,9:53:00,2694.6,33.607,1.029,4.822,11/1/2004,Aaron,"DryLeaf,LiveLeaf,",0; Aaron recorded 9:54,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.537135398
79,Emmy.Lou,Female,13.41,A362,4/1/2018,16:27:00,687.6,14.077,1.016,4.086,11/1/2004,Izzi,"DryLeaf,",Estrus,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.227869293
80,Emmy.Lou,Female,13.45,A413,4/15/2018,15:25:00,588.8,1.864,1.01,3.187,11/1/2004,Izzi,"Ground,DryLeaf,",,6/19/2018,13-Dec-19,5,1.864,2.3,NA,NA,0.030352463
81,Emmy.Lou,Female,13.45,A413,4/15/2018,15:25:00,588.8,3.509,1.01,3.187,11/1/2004,Izzi,"Ground,DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.057138837
82,EttaJames,Female,6.34,1536,7/11/2017,13:18:04,1284.4,16.432,1.015,2.75,3/9/2011,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.266252557
83,EttaJames,Female,6.86,A110,1/18/2018,12:35:00,1737,28.015,1.02,3.026,3/9/2011,Aaron,"DryLeaf,",Had been Ruth miliah and ? This morning ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.451710159
84,EttaJames,Female,7.04,A323,3/23/2018,12:40:00,1127,19.727,1.01,2.545,3/9/2011,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.321224805
85,EttaJames,Female,7.2,A553,5/20/2018,15:41:00,1105.4,14.608,1.011,2.632,3/9/2011,Izzi,"DryLeaf,",,6/19/2018,13-Dec-19,5,14.608,4.1,NA,NA,0.237634235
86,EttaJames,Female,7.2,A553,5/20/2018,15:41:00,1105.4,17.146,1.011,2.632,3/9/2011,Izzi,"DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.278920906
87,EttaJames,Female,7.23,A604,5/31/2018,11:07:20,2167.2,21.94,1.019,3.171,3/9/2011,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,13-Dec-19,5,21.94,2.8,NA,NA,0.354104823
88,EttaJames,Female,7.23,A596,5/30/2018,12:28:00,2984.4,51.995,1.025,3.717,3/9/2011,Izzi,"LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.834270948
89,EttaJames,Female,7.23,A604,5/31/2018,11:07:20,2167.2,25.263,1.019,3.171,3/9/2011,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.407737017
90,Fisher,Female,13.19,921,3/5/2017,9:30:00,3111.8,0,1.019,5.5,12/26/2003,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0
91,Fisher,Female,13.23,945,3/18/2017,10:20:00,2597.2,0,1.016,4.816,12/26/2003,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0
92,Fisher,Female,13.24,974,3/24/2017,14:25:00,476.6,2.148,1.004,NA,12/26/2003,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.035186006
93,Fisher,Female,13.37,1181,5/9/2017,18:05:13,1979.8,0,1.018,4.058,12/26/2003,Rebecca,,,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0
94,Fisher,Female,13.85,A12,10/31/2017,13:00:00,2496.6,0,1.025,4.748,12/26/2003,Aaron,"LiveLeaf,",Estrus 2; large party (40) during red colobus hunt ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0
95,Fisher,Female,13.95,A30,12/8/2017,9:00:00,1727.2,0.945,1.017,3.505,12/26/2003,Izzi,"DryLeaf,LiveLeaf,",And Aaron ,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.015282002
96,Fisher,Female,14.08,A124,1/22/2018,15:55:00,1236.6,0,1.033,6.531,12/26/2003,Izzi,"DryLeaf,Ground,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0
97,Fisher,Female,14.13,A208,2/10/2018,12:05:00,4565,0,1.03,7.499,12/26/2003,Izzi,"DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0
98,Fisher,Female,14.13,A213,2/11/2018,8:05:00,1854.2,0.433,1.019,4.001,12/26/2003,Izzi,"DryLeaf,LiveLeaf,",Small swelling,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.006988486
99,Fisher,Female,14.15,A242,2/20/2018,13:39:00,1530.8,0.167,1.017,3.794,12/26/2003,Izzi,"DryLeaf,LiveLeaf,",Estrus,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.002700629
100,Fisher,Female,14.19,A304,3/4/2018,9:43:00,1040.4,7.685,1.015,4.408,12/26/2003,Izzi,"DryLeaf,LiveLeaf,",Estrus,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.124522328
101,Fisher,Female,14.3,A403,4/13/2018,12:00:00,2240.4,0.629,1.017,3.698,12/26/2003,Izzi,"DryLeaf,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0.01017183
102,Fisher,Female,14.32,A450,4/21/2018,14:07:00,1041,0,1.008,2.916,12/26/2003,Izzi,"Bag,LiveLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0
103,Fisher,Female,14.43,A617,6/2/2018,11:04:00,1778,0,1.022,4.936,12/26/2003,Izzi,"LiveLeaf,DryLeaf,",,6/19/2018,6/19/2018,NA,NA,NA,NA,NA,0
104,Fitzgerald,Female,49.11,A220,2/11/2018,12:28:00,746.1,1.164,1.019,NA,1/1/1969,Izzi,"DryLeaf,Ground,",Estrus,6/22/2021,16-Dec-19,6,1.164,4.5,NA,NA,0.0187866
105,Florence,Female,17.76,O091,12/13/2016,9:15:00,373.6,0.503,1.006,NA,3/11/1999,Jeremy,"Leaf,",8027 ID. In estrous,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.008223173
106,Florence,Female,17.88,O134.2,1/26/2017,16:15:00,1531.2,2.953,1.036,9.835,3/11/1999,Jeremy,"Bag,","She had been coughing on and off. Left a natalensis at 12:30, drank water in a nearby stream, and then built a best in a different tree and was there for appx 2.5  hrs. 

0238 ID 

Vial 5: 2ml

Vial 6: 1.1ml    Vial 7: 2.0ml",6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.046878434
107,Florence,Female,17.92,O155,2/8/2017,15:40:46,1249,1.245,1.016,4.665,3/11/1999,Jeremy,"Ground,",0949 ID ,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.020153248
108,Florence,Female,18.02,O211,3/19/2017,12:00:00,589.6,0.552,1.018,3.958,3/11/1999,Jeremy,"Ground,",3762 ID ,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.008917861
109,Florence,Female,18.9,A183,2/3/2018,14:05:00,785.2,4.256,1.016,5.003,3/11/1999,Lawrence,,,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.068893352
110,Francoise,Female,6.54,A243,2/20/2018,15:20:00,2486.7,22.541,1.018,NA,8/8/2011,Izzi,"DryLeaf,LiveLeaf,",,6/22/2021,16-Dec-19,6,22.541,5.2,NA,NA,0.36416215
112,Francoise,Female,6.7,A442,4/21/2018,8:06:00,1088.5,14.102,1.003,NA,8/8/2011,Izzi,"LiveLeaf,",,6/22/2021,16-Dec-19,6,14.102,2.2,NA,NA,0.231232663
113,Fricka,Female,5.99,A32,12/8/2017,13:25:00,736.8,8.236,1.007,NA,12/12/2011,Izzi,"DryLeaf,",Aaron 99% sure fricka ,6/20/2018,13-Dec-19,5,8.236,2.2,NA,NA,0.134510526
114,Fricka,Female,5.99,A32,12/8/2017,13:25:00,736.8,10.438,1.007,NA,12/12/2011,Izzi,"DryLeaf,",Aaron 99% sure fricka ,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.170473636
115,Fricka,Female,6.08,A69,1/9/2018,15:26:00,3111.6,66.661,1.039,3.963,12/12/2011,Izzi,"DryLeaf,LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,1.055177884
116,Fricka,Female,6.09,A82,1/14/2018,13:52:00,1610.8,49.007,1.021,3.198,12/12/2011,Aaron,"DryLeaf,",Almost positive; she was defecating in front of me and I saw this urine ,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.789408464
117,Fricka,Female,6.14,A157,1/30/2018,12:30:00,2951.2,63.255,1.02,4.047,12/12/2011,Izzi,"DryLeaf,Ground,",,6/20/2018,13-Dec-19,5,63.255,6.3,NA,NA,1.019915264
118,Fricka,Female,6.14,A157,1/30/2018,12:30:00,2951.2,69.151,1.02,4.047,12/12/2011,Izzi,"DryLeaf,Ground,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,1.114981589
119,Fricka,Female,6.19,A232,2/18/2018,12:00:00,2243.6,23.938,1.017,3.316,12/12/2011,Izzi,"DryLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.387111714
120,Fricka,Female,6.22,A302,3/3/2018,13:34:00,296.4,2.705,1.005,NA,12/12/2011,Izzi,"LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.044266034
121,Fricka,Female,6.22,A303,3/3/2018,14:50:00,373.6,3.221,1.005,NA,12/12/2011,Izzi,"LiveLeaf,",,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.052710127
122,Fricka,Female,6.29,A336,3/27/2018,13:54:00,4662.8,49.267,1.028,4.567,12/12/2011,Izzi,"DryLeaf,",Right after Wilson displayed and beat up Baez nearby,6/20/2018,6/20/2018,NA,NA,NA,NA,NA,0.788192696
